state_zoneid	state_baseflowindex_min	state_baseflowindex_max	state_baseflowindex_mean	state_baseflowindex_std	state_dep_no3_1985_min	state_dep_no3_1985_max	state_dep_no3_1985_mean	state_dep_no3_1985_std	state_dep_no3_1990_min	state_dep_no3_1990_max	state_dep_no3_1990_mean	state_dep_no3_1990_std	state_dep_no3_1995_min	state_dep_no3_1995_max	state_dep_no3_1995_mean	state_dep_no3_1995_std	state_dep_no3_2000_min	state_dep_no3_2000_max	state_dep_no3_2000_mean	state_dep_no3_2000_std	state_dep_no3_2005_min	state_dep_no3_2005_max	state_dep_no3_2005_mean	state_dep_no3_2005_std	state_dep_no3_2010_min	state_dep_no3_2010_max	state_dep_no3_2010_mean	state_dep_no3_2010_std	state_dep_so4_1985_min	state_dep_so4_1985_max	state_dep_so4_1985_mean	state_dep_so4_1985_std	state_dep_so4_1990_min	state_dep_so4_1990_max	state_dep_so4_1990_mean	state_dep_so4_1990_std	state_dep_so4_1995_min	state_dep_so4_1995_max	state_dep_so4_1995_mean	state_dep_so4_1995_std	state_dep_so4_2000_min	state_dep_so4_2000_max	state_dep_so4_2000_mean	state_dep_so4_2000_std	state_dep_so4_2005_min	state_dep_so4_2005_max	state_dep_so4_2005_mean	state_dep_so4_2005_std	state_dep_so4_2010_min	state_dep_so4_2010_max	state_dep_so4_2010_mean	state_dep_so4_2010_std	state_dep_totaln_1985_min	state_dep_totaln_1985_max	state_dep_totaln_1985_mean	state_dep_totaln_1985_std	state_dep_totaln_1990_min	state_dep_totaln_1990_max	state_dep_totaln_1990_mean	state_dep_totaln_1990_std	state_dep_totaln_1995_min	state_dep_totaln_1995_max	state_dep_totaln_1995_mean	state_dep_totaln_1995_std	state_dep_totaln_2000_min	state_dep_totaln_2000_max	state_dep_totaln_2000_mean	state_dep_totaln_2000_std	state_dep_totaln_2005_min	state_dep_totaln_2005_max	state_dep_totaln_2005_mean	state_dep_totaln_2005_std	state_dep_totaln_2010_min	state_dep_totaln_2010_max	state_dep_totaln_2010_mean	state_dep_totaln_2010_std	state_groundwaterrecharge_min	state_groundwaterrecharge_max	state_groundwaterrecharge_mean	state_groundwaterrecharge_std	state_prism_ppt_30yr_normal_800mm2_annual_min	state_prism_ppt_30yr_normal_800mm2_annual_max	state_prism_ppt_30yr_normal_800mm2_annual_mean	state_prism_ppt_30yr_normal_800mm2_annual_std	state_prism_tmax_30yr_normal_800mm2_annual_min	state_prism_tmax_30yr_normal_800mm2_annual_max	state_prism_tmax_30yr_normal_800mm2_annual_mean	state_prism_tmax_30yr_normal_800mm2_annual_std	state_prism_tmean_30yr_normal_800mm2_annual_min	state_prism_tmean_30yr_normal_800mm2_annual_max	state_prism_tmean_30yr_normal_800mm2_annual_mean	state_prism_tmean_30yr_normal_800mm2_annual_std	state_prism_tmin_30yr_normal_800mm2_annual_min	state_prism_tmin_30yr_normal_800mm2_annual_max	state_prism_tmin_30yr_normal_800mm2_annual_mean	state_prism_tmin_30yr_normal_800mm2_annual_std	state_runoff_min	state_runoff_max	state_runoff_mean	state_runoff_std	state_surficialgeology_alluv_ha	state_surficialgeology_alluv_pct	state_surficialgeology_beach_ha	state_surficialgeology_beach_pct	state_surficialgeology_colluv_ha	state_surficialgeology_colluv_pct	state_surficialgeology_dec_resid_ha	state_surficialgeology_dec_resid_pct	state_surficialgeology_eolian_ha	state_surficialgeology_eolian_pct	state_surficialgeology_gf_out_ha	state_surficialgeology_gf_out_pct	state_surficialgeology_grus_ha	state_surficialgeology_grus_pct	state_surficialgeology_ice_ha	state_surficialgeology_ice_pct	state_surficialgeology_lac_ha	state_surficialgeology_lac_pct	state_surficialgeology_lac_clay_ha	state_surficialgeology_lac_clay_pct	state_surficialgeology_marine_ha	state_surficialgeology_marine_pct	state_surficialgeology_open_water_ha	state_surficialgeology_open_water_pct	state_surficialgeology_other_ha	state_surficialgeology_other_pct	state_surficialgeology_peat_mrsh_ha	state_surficialgeology_peat_mrsh_pct	state_surficialgeology_saprol_ha	state_surficialgeology_saprol_pct	state_surficialgeology_solif_ha	state_surficialgeology_solif_pct	state_surficialgeology_solut_ha	state_surficialgeology_solut_pct	state_surficialgeology_till_clay_ha	state_surficialgeology_till_clay_pct	state_surficialgeology_till_loam_ha	state_surficialgeology_till_loam_pct	state_surficialgeology_till_oth_ha	state_surficialgeology_till_oth_pct	state_surficialgeology_till_sand_ha	state_surficialgeology_till_sand_pct
1	State_1	39	67	51.0537	3.8355	7.2118	18.0714	9.5103	1.6107	8.6804	21.4132	12.5361	1.5783	6.6534	20.5244	9.713	2.1082	6.4171	17.3527	9.6097	1.5853	6.0751	14.6208	8.6105	1.1323	3.3496	8.4735	5.0924	1.0403	11.5264	26.8323	15.3081	2.2621	11.9124	28.909	17.38	2.3419	6.4142	21.7442	10.8068	2.5076	7.0199	18.5823	10.8633	1.8757	8.3586	19.275	11.2926	1.7547	3.6627	9.6861	5.6297	1.2457	2.5143	6.124	3.256	0.5102	3.0141	7.4274	4.36	0.5209	2.2133	7.2204	3.3603	0.766	2.2311	5.9295	3.2785	0.5186	2.1543	5.678	3.2308	0.4753	1.4791	3.5265	2.1526	0.3829	242	443	325.8546	39.1035	880.8292	1992.2411	1148.6118	96.7421	5.4644	14.3952	10.8037	1.5744	0.5004	8.8019	5.1421	1.4877	-4.5559	4.8843	-0.5244	1.5299	20.6624	31.9328	25.2287	2.3283	22564.7353	0.2701	127.8383	0.0015	0	0	0	0	963.3756	0.0115	108555.5927	1.2994	0	0	122244.3224	1.4632	3574.6278	0.0428	10551.3035	0.1263	1566951.8851	18.7561	203116.1354	2.4313	0	0	43040.8943	0.5152	0	0	0	0	0	0	0	0	2104316.2565	25.1883	0	0	4168341.7912	49.8943
2	State_10	43	66	50.2453	3.2971	16.4088	22.8936	19.8886	1.1327	14.8024	23.5643	19.0342	1.6073	11.7399	18.6393	14.866	1.0664	13.4498	20.7836	16.8614	1.6095	8.5497	12.5493	10.2307	0.8115	5.7587	8.805	7.4754	0.5696	23.5423	32.8672	28.6344	1.7765	21.2163	34.3602	27.2353	2.6488	13.0917	19.9105	16.0245	1.1038	16.0044	24.1717	19.6204	1.8315	11.6167	17.3959	14.6763	1.2344	5.908	9.2356	7.7631	0.6335	5.3387	7.4216	6.4299	0.3705	5.0586	8.0954	6.5209	0.545	4.0631	6.5827	5.2499	0.3846	4.7788	7.1543	5.8206	0.5276	2.9843	4.6031	3.6992	0.3347	2.4037	3.8058	3.169	0.2635	242	482	327.0164	35.7635	1104.0065	1418.8099	1252.51	49.352	12.5114	16.6757	15.2867	0.7411	7.3137	11.8587	9.7084	0.7938	1.6891	7.2139	4.1251	0.9541	19.9786	29.6347	25.6883	1.6798	25717.7329	2.0047	0	0	0	0	0	0	0	0	17494.641	1.3637	0	0	190196.7686	14.826	7466.1505	0.582	23905.446	1.8635	0	0	3350.9278	0.2612	0	0	0	0	0	0	0	0	0	0	0	0	13013.6672	1.0144	0	0	1001713.776	78.0845
3	State_11	8	66	28.1602	11.9123	9.1366	17.5358	14.2733	1.2536	11.6257	18.6568	15.0497	1.51	11.0811	18.5612	14.2301	1.1636	9.7949	18.214	13.3541	1.4486	6.6939	13.6566	9.6694	1.2322	6.5949	12.5693	9.4908	1.2329	15.6051	35.948	26.1769	4.1723	14.7225	32.4971	24.5669	2.9381	11.4733	23.6548	18.2227	1.5697	10.4341	22.5244	15.0793	2.2332	7.8232	23.1086	13.0891	2.6183	8.0001	14.5685	10.9845	1.1851	3.7877	6.7377	5.5902	0.4214	5.0096	8.6895	6.8092	0.8746	4.7885	8.2383	6.4227	0.6016	4.3795	7.9066	5.8004	0.6526	3.4753	6.7119	4.721	0.5612	3.2951	7.2337	5.0379	0.8595	20	149	67.7392	26.7278	859.7764	1260.9741	1005.2542	81.5557	12.5649	20.3372	16.9483	1.5152	8.1263	14.4741	11.3004	1.4458	2.5659	8.7845	5.6476	1.3975	8.2917	17.735	9.8793	1.6548	1090968.8505	7.4767	0	0	446759.2438	3.0618	39383.0122	0.2699	757230.4689	5.1895	827816.6056	5.6732	0	0	91596.8898	0.6277	637117.7691	4.3663	463460.9794	3.1762	0	0	117573.5657	0.8058	0	0	0	0	0	0	0	0	143377.9047	0.9826	1773703.6663	12.1556	8202628.6126	56.2147	0	0	0	0
4	State_12	11	75	33.141	12.5165	12.0282	18.7946	16.2516	1.1181	12.8173	21.8827	17.1951	1.4876	11.2644	20.4998	15.6749	1.7323	11.946	19.8707	15.6701	1.5856	9.5357	17.5556	13.2562	1.4188	6.8859	11.5408	9.2201	0.7677	23.532	35.9688	30.031	2.469	24.1515	38.3261	31.3814	2.3269	15.9364	27.993	20.9565	1.805	14.1674	26.7928	20.1348	2.7944	11.4574	24.8019	18.6416	2.5274	8.457	15.6139	11.0181	1.0241	4.3955	7.1876	6.1196	0.4551	5.3378	9.292	7.1986	0.6774	5.0842	8.7444	6.6909	0.6774	5.0065	7.8669	6.4538	0.5423	4.2655	7.9178	6.0717	0.6934	3.3929	5.8955	4.6286	0.4302	39	249	109.1206	36.6092	915.1272	1241.9624	1072.0083	79.4291	14.2741	19.7901	16.8179	1.2755	8.8986	14.2972	11.2086	1.1214	3.5203	8.8093	5.5944	0.9975	10.0672	19.2075	13.3242	1.8811	685009.71	7.3102	0	0	1540038.6005	16.4348	0	0	358668.3008	3.8276	746906.7288	7.9708	0	0	148876.4045	1.5888	436485.4246	4.658	44142.8195	0.4711	0	0	33036.2745	0.3526	0	0	0	0	0	0	0	0	0	0	1422517.0054	15.1807	3954907.68	42.2055	0	0	0	0
5	State_13	12	84	40.0638	10.6726	5.7714	13.7059	9.0427	1.1805	6.7118	18.0513	11.9959	1.9609	9.0846	17.1856	12.1515	1.19	7.6629	16.008	11.1274	1.7774	6.326	13.3172	9.1947	1.48	6.5283	13.2992	9.7828	1.3393	8.0248	23.0435	12.5526	2.6017	5.666	25.9661	13.9476	3.7572	7.4829	19.714	11.6294	2.1386	5.7174	13.998	9.1872	2.1278	6.9265	13.7439	9.4892	1.3856	5.1722	13.878	8.7307	1.871	2.5006	5.6126	4.017	0.4725	4.0341	8.829	6.5024	0.8314	5.0153	8.3026	6.2319	0.4683	4.0541	7.9585	5.6302	0.7433	3.3775	7.8296	5.4312	1.0189	5.0049	7.8231	6.4376	0.5046	9	144	63.8696	23.2564	657.3062	999.1177	880.5088	62.4193	12.2241	17.2993	14.8347	1.0675	6.8194	11.6641	9.1061	1.0245	1.2503	6.278	3.3724	1.0181	1.2907	9.0965	6.4994	1.7627	1334730.4876	9.1586	0	0	475723.2356	3.2643	276.9406	0.0019	65372.7205	0.4486	694817.1885	4.7677	0	0	0	0	0	0	50616.5369	0.3473	0	0	62510.9592	0.4289	0	0	0	0	0	0	0	0	0	0	177976.3565	1.2212	11711534.6296	80.3615	0	0	0	0
6	State_14	22	84	50.2043	10.4999	4.7521	11.2735	7.8865	1.177	3.3472	14.4795	7.3407	2.3571	4.3614	13.45	8.3371	2.1651	6.2682	14.7859	9.0711	1.5101	5.2898	12.7005	9.177	1.8147	3.0219	9.8954	6.7252	1.3942	5.4805	14.335	9.7206	1.6485	2.9442	16.1468	6.8666	2.7907	3.4674	12.72	6.5703	1.8844	4.0448	12.4935	6.8156	1.3943	3.9449	12.4134	8.0284	2.0155	2.0521	8.4594	4.9495	1.1363	2.5124	5.3678	3.8466	0.5999	2.0528	8.0331	4.1413	1.3535	2.0174	7.0039	4.2665	1.1592	2.9467	7.5718	4.8805	0.8209	3.347	8.6048	5.575	1.3459	1.5309	8.2694	4.6598	1.3701	6	192	72.9037	41.9567	520.4747	957.1101	708.9655	77.2653	7.3016	13.9168	11.1261	1.3128	2.1172	8.7626	5.3337	1.4938	-4.2971	3.6026	-0.4638	1.7054	0.7939	14.456	5.5887	2.8493	383880.9487	1.7646	0	0	554425.3836	2.5485	0	0	25.4293	1e-04	3673612.2216	16.8862	0	0	0	0	1189686.078	5.4685	1492215.059	6.8591	0	0	468414.8763	2.1531	0	0	1448408.6317	6.6578	0	0	0	0	0	0	1122990.5009	5.1619	10427329.051	47.9304	0	0	994177.2828	4.5698
7	State_15	6	69	25.766	12.1425	8.7052	17.7732	13.3771	1.6188	8.0691	16.2379	12.8682	1.2995	8.7857	17.1044	12.3258	1.3169	7.7876	14.881	10.8132	1.2571	6.5538	12.7032	9.4525	0.8765	5.805	13.2597	8.7246	1.6284	11.1992	32.5172	22.0396	3.7722	8.528	25.634	18.1107	3.2134	9.8794	19.6357	14.0551	1.5785	7.171	16.9903	10.5667	1.6257	7.9901	16.0155	11.4978	1.3532	5.8958	13.9611	9.3994	1.6172	3.5613	6.9567	5.3934	0.6232	4.352	7.4633	5.8776	0.4513	4.1084	8.2412	5.8227	0.7746	3.2729	6.4048	4.7079	0.6434	3.1651	6.8707	4.7684	0.5877	2.7825	7.7101	4.7391	1.1696	12	262	73.1803	50.5416	834.0358	1310.6633	1099.6552	81.8002	15.9334	21.3427	18.8017	1.1376	10.1262	15.69	12.741	0.9971	4.241	10.1338	6.6753	0.9496	5.5139	20.4602	10.4406	2.8273	3630176.7436	20.1245	0	0	59987.3802	0.3326	4599157.6194	25.4962	230750.1237	1.2792	100174.2969	0.5553	0	0	370.4491	0.0021	0	0	13186.4829	0.0731	0	0	296474.138	1.6436	0	0	0	0	112123.4456	0.6216	0	0	5195314.7798	28.8011	0	0	3800852.0294	21.0707	0	0	0	0
8	State_16	38	76	50.2423	4.9368	10.5129	38.1698	14.9069	2.3982	11.9132	31.9825	16.1405	2.0628	10.1427	32.8166	15.0275	2.3865	9.0133	23.9513	14.1002	1.9951	8.1221	20.0996	11.0731	1.2993	4.3565	10.5322	6.4017	0.8748	14.9497	55.3136	21.6741	3.4649	16.1135	43.6872	22.0981	2.7604	10.5224	34.0452	15.6746	2.3956	9.1302	25.1357	15.3229	2.3064	10.371	26.7022	14.6056	1.789	4.6468	11.1398	6.7481	0.9193	3.5286	12.7986	4.9279	0.7804	3.9748	10.7724	5.4504	0.6887	3.5723	11.4874	5.2815	0.8295	2.9859	8.0829	4.7882	0.6737	3.1386	7.7685	4.1972	0.4871	1.8779	4.3421	2.6722	0.347	196	520	300.2433	66.012	915.3254	2416.3491	1209.4933	143.5426	1.6707	15.1959	12.3489	1.812	-1.7805	9.2166	6.4911	1.679	-5.2231	3.5837	0.6282	1.6417	17.2036	41.581	23.6387	4.993	294.4023	0.0123	174.1239	0.0073	0	0	0	0	0	0	62920.757	2.6257	0	0	72245.4533	3.0149	62408.3862	2.6044	42738.6364	1.7835	76580.5873	3.1958	41932.3958	1.7499	0	0	4267.485	0.1781	0	0	0	0	0	0	0	0	21331.0146	0.8902	0	0	2011407.0671	83.938
9	State_17	39	63	47.0316	1.8244	8.5831	28.0823	15.3299	2.7596	11.9457	29.2773	17.2843	2.8609	8.7714	27.6269	14.1425	3.2994	9.6684	30.2038	15.8947	3.5578	7.761	18.8309	11.0358	1.8496	4.3616	12.0477	6.8029	0.9834	12.235	37.0071	21.1853	3.92	16.1561	39.2232	23.3054	3.985	9.4353	29.3599	15.0116	3.1978	10.1617	34.0227	16.8956	4.245	9.4175	23.2705	13.4849	2.2891	4.6524	13.8249	7.3974	1.1434	2.8045	9.3502	5.0967	0.8898	3.9939	10.601	5.9895	0.9777	3.1709	9.5738	5.0547	1.1356	3.2937	10.9043	5.5578	1.2435	3.0258	7.463	4.2417	0.6675	1.8791	6.4051	3.147	0.5134	177	457	276.0752	52.4171	850.8296	2006.2025	1175.8373	174.1054	7.2355	14.9108	11.6674	1.2104	2.5793	8.7931	5.9392	1.1174	-2.9514	2.9035	0.2059	1.1523	17.5527	31.7361	23.2652	4.3787	3624.5687	0.1455	0	0	0	0	0	0	0	0	0	0	0	0	115417.7584	4.6346	1833.1946	0.0736	142839.0596	5.7357	102548.3424	4.1178	72380.1191	2.9064	0	0	14391.5193	0.5779	0	0	0	0	0	0	0	0	444276.779	17.8399	0	0	1593039.8161	63.9685
10	State_2	41	74	52.1208	4.7389	9.5785	22.9156	17.2316	2.6426	8.8979	23.5371	15.8754	2.4543	10.3853	23.2691	14.4141	2.0597	10.1782	22.5477	16.2576	2.1936	7.017	14.0693	10.8561	0.9604	5.7397	9.1076	7.296	0.4247	18.8891	32.8848	25.998	2.4983	14.7608	33.4921	22.5427	2.8897	11.8253	23.0486	15.3759	1.7405	13.0596	25.702	18.5703	2.1589	9.8772	18.5495	14.5381	1.1341	6.1074	9.1673	7.3613	0.5444	3.283	7.3609	5.5571	0.7617	2.9317	8.0863	5.4204	0.8687	3.4974	8.0926	5.0845	0.7468	3.2974	7.8497	5.4671	0.7764	2.5519	5.1174	3.9521	0.3386	2.4031	3.7554	2.9953	0.194	210	397	317.873	29.3035	1022.5266	1536.3911	1234.5883	51.8378	10.5698	16.009	14.4567	1.0473	5.2003	11.1093	8.9263	1.1523	-0.1923	7.3181	3.3909	1.5165	18.838	31.576	24.2345	2.2882	39277.4886	1.8865	6245.2898	0.3	0	0	0	0	3102.026	0.149	168164.32	8.077	0	0	677172.9363	32.5249	0	0	84072.9735	4.0381	38613.3395	1.8546	16067.7796	0.7717	3530.1634	0.1696	4695.0266	0.2255	0	0	0	0	0	0	192.6257	0.0093	9813.3866	0.4713	0	0	1031066.2524	49.5226
