state_zoneid	state_canopy2001_min	state_canopy2001_max	state_canopy2001_mean	state_canopy2001_std	state_damdensity_pointcount	state_damdensity_pointsperha	state_damdensity_pointspersqkm	state_nlcd1992_ha_0	state_nlcd1992_pct_0	state_nlcd1992_ha_11	state_nlcd1992_pct_11	state_nlcd1992_ha_21	state_nlcd1992_pct_21	state_nlcd1992_ha_22	state_nlcd1992_pct_22	state_nlcd1992_ha_23	state_nlcd1992_pct_23	state_nlcd1992_ha_31	state_nlcd1992_pct_31	state_nlcd1992_ha_32	state_nlcd1992_pct_32	state_nlcd1992_ha_33	state_nlcd1992_pct_33	state_nlcd1992_ha_41	state_nlcd1992_pct_41	state_nlcd1992_ha_42	state_nlcd1992_pct_42	state_nlcd1992_ha_43	state_nlcd1992_pct_43	state_nlcd1992_ha_51	state_nlcd1992_pct_51	state_nlcd1992_ha_61	state_nlcd1992_pct_61	state_nlcd1992_ha_71	state_nlcd1992_pct_71	state_nlcd1992_ha_81	state_nlcd1992_pct_81	state_nlcd1992_ha_82	state_nlcd1992_pct_82	state_nlcd1992_ha_83	state_nlcd1992_pct_83	state_nlcd1992_ha_85	state_nlcd1992_pct_85	state_nlcd1992_ha_91	state_nlcd1992_pct_91	state_nlcd1992_ha_92	state_nlcd1992_pct_92	state_nlcd2001_ha_0	state_nlcd2001_pct_0	state_nlcd2001_ha_11	state_nlcd2001_pct_11	state_nlcd2001_ha_21	state_nlcd2001_pct_21	state_nlcd2001_ha_22	state_nlcd2001_pct_22	state_nlcd2001_ha_23	state_nlcd2001_pct_23	state_nlcd2001_ha_24	state_nlcd2001_pct_24	state_nlcd2001_ha_31	state_nlcd2001_pct_31	state_nlcd2001_ha_41	state_nlcd2001_pct_41	state_nlcd2001_ha_42	state_nlcd2001_pct_42	state_nlcd2001_ha_43	state_nlcd2001_pct_43	state_nlcd2001_ha_52	state_nlcd2001_pct_52	state_nlcd2001_ha_71	state_nlcd2001_pct_71	state_nlcd2001_ha_81	state_nlcd2001_pct_81	state_nlcd2001_ha_82	state_nlcd2001_pct_82	state_nlcd2001_ha_90	state_nlcd2001_pct_90	state_nlcd2001_ha_95	state_nlcd2001_pct_95	state_nlcd2006_ha_0	state_nlcd2006_pct_0	state_nlcd2006_ha_11	state_nlcd2006_pct_11	state_nlcd2006_ha_21	state_nlcd2006_pct_21	state_nlcd2006_ha_22	state_nlcd2006_pct_22	state_nlcd2006_ha_23	state_nlcd2006_pct_23	state_nlcd2006_ha_24	state_nlcd2006_pct_24	state_nlcd2006_ha_31	state_nlcd2006_pct_31	state_nlcd2006_ha_41	state_nlcd2006_pct_41	state_nlcd2006_ha_42	state_nlcd2006_pct_42	state_nlcd2006_ha_43	state_nlcd2006_pct_43	state_nlcd2006_ha_52	state_nlcd2006_pct_52	state_nlcd2006_ha_71	state_nlcd2006_pct_71	state_nlcd2006_ha_81	state_nlcd2006_pct_81	state_nlcd2006_ha_82	state_nlcd2006_pct_82	state_nlcd2006_ha_90	state_nlcd2006_pct_90	state_nlcd2006_ha_95	state_nlcd2006_pct_95	state_nlcd2011_ha_0	state_nlcd2011_pct_0	state_nlcd2011_ha_11	state_nlcd2011_pct_11	state_nlcd2011_ha_21	state_nlcd2011_pct_21	state_nlcd2011_ha_22	state_nlcd2011_pct_22	state_nlcd2011_ha_23	state_nlcd2011_pct_23	state_nlcd2011_ha_24	state_nlcd2011_pct_24	state_nlcd2011_ha_31	state_nlcd2011_pct_31	state_nlcd2011_ha_41	state_nlcd2011_pct_41	state_nlcd2011_ha_42	state_nlcd2011_pct_42	state_nlcd2011_ha_43	state_nlcd2011_pct_43	state_nlcd2011_ha_52	state_nlcd2011_pct_52	state_nlcd2011_ha_71	state_nlcd2011_pct_71	state_nlcd2011_ha_81	state_nlcd2011_pct_81	state_nlcd2011_ha_82	state_nlcd2011_pct_82	state_nlcd2011_ha_90	state_nlcd2011_pct_90	state_nlcd2011_ha_95	state_nlcd2011_pct_95	state_roaddensity_sum_lengthm	state_roaddensity_density_mperha
State_1	0	100	65.9657	32.8746	566	0.0001	0.0067	3.7800	0.0005	461620.0800	5.4875	66028.0500	0.7849	7027.4700	0.0835	40975.0200	0.4871	6563.9700	0.0780	1556.9100	0.0185	192406.2300	2.2872	1968385.6800	23.3990	2181265.4700	25.9296	2631869.2800	31.2861	39228.0300	0.4663	901.0800	0.0107	0.0000	0.0000	77287.9500	0.9188	320836.7700	3.8139	98.0100	0.0012	28085.5800	0.3339	304587.0900	3.6207	83549.0700	0.9932	740.6100	0.0088	400812.3900	4.7646	166623.5700	1.9807	85756.9500	1.0194	27083.3400	0.3220	9163.6200	0.1089	36848.5200	0.4380	1497636.6300	17.8030	1821423.8700	21.6520	2593520.6400	30.8302	602723.7900	7.1648	63809.1000	0.7585	149564.7900	1.7779	169104.6000	2.0102	675588.9600	8.0310	111874.1400	1.3299	740.6100	0.0088	403823.6100	4.8004	167937.3900	1.9963	86707.0800	1.0307	27700.5600	0.3293	9325.6200	0.1109	38194.4700	0.4540	1475481.6900	17.5396	1793408.8500	21.3189	2556368.1000	30.3885	632136.4200	7.5145	117778.1400	1.4001	149208.0300	1.7737	167218.4700	1.9878	675501.2100	8.0299	110745.2700	1.3165	740.6100	0.0088	407751.7500	4.8471	166203.8100	1.9757	87515.2800	1.0403	30894.3900	0.3673	10311.9300	0.1226	41260.6800	0.4905	1428209.8200	16.9777	1760601.8700	20.9290	2438485.6500	28.9872	619157.6100	7.3602	90435.6900	1.0750	143509.8600	1.7060	168251.7600	2.0001	907306.6500	10.7855	111638.1600	1.3271	106828210.5720	12.6991
State_10	0	100	62.8696	40.7850	567	0.0004	0.0440	0.0000	0.0000	39134.6100	3.0389	149333.9400	11.5961	18297.4500	1.4208	46961.4600	3.6467	3194.1000	0.2480	1592.4600	0.1237	3525.8400	0.2738	540862.5600	41.9992	39052.7100	3.0325	178783.1100	13.8829	583.7400	0.0453	947.0700	0.0735	0.0000	0.0000	63805.2300	4.9546	62281.0800	4.8363	0.0000	0.0000	45146.5200	3.5057	72067.2300	5.5962	22222.7100	1.7256	0.0000	0.0000	32987.5200	2.5616	133869.1500	10.3952	97016.3100	7.5335	57248.8200	4.4455	13408.9200	1.0412	3075.6600	0.2388	650797.3800	50.5359	44852.4900	3.4829	42981.0300	3.3376	17593.0200	1.3661	3439.0800	0.2671	87668.1900	6.8076	13074.5700	1.0153	80013.5100	6.2132	9766.1700	0.7584	0.0000	0.0000	32724.9900	2.5412	136968.1200	10.6359	100537.2000	7.8069	58733.9100	4.5608	13877.0100	1.0776	3211.4700	0.2494	646059.9600	50.1680	44396.1000	3.4475	42733.2600	3.3183	17074.7100	1.3259	3674.0700	0.2853	86103.0000	6.6861	12418.5600	0.9643	79464.8700	6.1706	9814.5900	0.7621	0.0000	0.0000	35833.5000	2.7826	137451.6000	10.6734	96794.7300	7.5163	63896.7600	4.9617	15637.9500	1.2143	4218.6600	0.3276	617378.8500	47.9409	40423.9500	3.1390	44048.6100	3.4205	16490.5200	1.2805	6920.8200	0.5374	80279.8200	6.2339	12389.8500	0.9621	101759.8500	7.9019	14266.3500	1.1078	56094552.3652	43.5587
State_11	0	100	11.9180	27.5939	670	0.0005	0.0046	0.0000	0.0000	237652.2000	1.6286	198888.9300	1.3630	194431.1400	1.3325	141948.3600	0.9728	4238.2800	0.0290	13234.1400	0.0907	1700.4600	0.0117	1794382.2000	12.2970	69655.2300	0.4774	67142.0700	0.4601	1219.6800	0.0084	732.2400	0.0050	91213.3800	0.6251	3091342.9500	21.1852	8074058.5800	55.3321	75807.3600	0.5195	146600.5500	1.0047	335885.8500	2.3018	51872.1300	0.3555	0.0000	0.0000	239952.0600	1.6444	718876.1700	4.9265	676116.1800	4.6335	205158.2400	1.4060	80697.0600	0.5530	7152.9300	0.0490	2170667.7900	14.8757	17165.7000	0.1176	12182.6700	0.0835	6914.6100	0.0474	98558.0100	0.6754	1310760.0900	8.9827	8807018.0400	60.3551	204324.4800	1.4003	36461.7000	0.2499	0.0000	0.0000	242208.3600	1.6599	738728.9100	5.0626	689317.3800	4.7239	214468.6500	1.4698	84830.1300	0.5813	10915.0200	0.0748	2161263.8700	14.8113	17220.1500	0.1180	11534.4000	0.0790	7673.2200	0.0526	95521.5000	0.6546	1303895.5200	8.9357	8771177.7000	60.1095	202582.1700	1.3883	40668.7500	0.2787	0.0000	0.0000	246081.9600	1.6864	697814.6400	4.7822	708366.6000	4.8545	239976.9000	1.6446	92871.9900	0.6365	12547.8000	0.0860	2157524.6400	14.7857	17324.9100	0.1187	11095.0200	0.0760	7418.3400	0.0508	95561.4600	0.6549	1295739.9900	8.8798	8764442.5500	60.0633	202766.5800	1.3896	42472.3500	0.2911	412049225.6600	28.2380
State_12	0	100	18.0262	31.8590	540	0.0002	0.0058	0.0000	0.0000	101281.8600	1.0807	184749.0300	1.9714	40975.9200	0.4372	89725.8600	0.9574	974.7900	0.0104	11541.9600	0.1232	10602.0000	0.1131	1656446.2200	17.6750	92845.5300	0.9907	15428.4300	0.1646	702.8100	0.0075	0.0000	0.0000	36906.4800	0.3938	1768141.1700	18.8669	5137451.4600	54.8190	3306.0600	0.0353	55230.2100	0.5893	141088.7700	1.5055	24268.0500	0.2590	0.0000	0.0000	103691.0700	1.1064	577129.9500	6.1582	268085.7900	2.8606	84687.9300	0.9037	40589.5500	0.4331	5582.5200	0.0596	2069668.6200	22.0843	52915.3200	0.5646	3493.9800	0.0373	32535.9000	0.3472	143510.0400	1.5313	695226.4200	7.4184	5153663.9700	54.9920	120023.9100	1.2807	20861.6400	0.2226	0.0000	0.0000	106263.0900	1.1339	586328.4900	6.2564	275878.9800	2.9438	91411.5600	0.9754	42645.3300	0.4550	7366.2300	0.0786	2062450.0800	22.0073	52798.5000	0.5634	3525.4800	0.0376	32397.1200	0.3457	143204.1300	1.5281	692948.6100	7.3941	5133368.6100	54.7754	119191.9500	1.2718	21888.4500	0.2336	0.0000	0.0000	107342.5500	1.1454	567817.1100	6.0589	289018.3500	3.0840	110384.0100	1.1778	48517.9200	0.5177	10644.3000	0.1136	2055854.1600	21.9369	52404.7500	0.5592	3496.7700	0.0373	31084.0200	0.3317	143143.2000	1.5274	686646.5400	7.3268	5123445.7500	54.6695	120172.4100	1.2823	21694.7700	0.2315	269330979.9060	28.7389
State_13	0	100	7.7998	23.2013	1833	0.0001	0.0126	0.0000	0.0000	131759.9100	0.9041	109472.8500	0.7512	41367.6900	0.2839	209479.0500	1.4374	1851.3900	0.0127	6222.9600	0.0427	0.0000	0.0000	1080579.7800	7.4147	1998.9900	0.0137	18655.9200	0.1280	0.0000	0.0000	0.0000	0.0000	744423.7500	5.1080	2387495.9700	16.3824	9432750.3300	64.7250	88237.9800	0.6055	41784.4800	0.2867	179825.4000	1.2339	97664.4900	0.6701	0.0000	0.0000	134659.8900	0.9240	779070.6900	5.3458	220445.1000	1.5126	50381.8200	0.3457	16483.5000	0.1131	6492.6900	0.0446	985517.5500	6.7624	9124.0200	0.0626	15481.3500	0.1062	25652.7900	0.1760	689360.3100	4.7302	1871175.2400	12.8395	9525682.2600	65.3627	170094.0600	1.1671	73949.6700	0.5074	0.0000	0.0000	142831.3500	0.9801	784020.9600	5.3797	225263.4300	1.5457	54422.8200	0.3734	17326.5300	0.1189	6238.8900	0.0428	981649.8000	6.7358	8949.3300	0.0614	15402.6000	0.1057	25190.2800	0.1728	680986.8900	4.6728	1863760.2300	12.7886	9500025.5100	65.1867	170637.3000	1.1709	96865.0200	0.6647	0.0000	0.0000	140685.3000	0.9653	750744.8100	5.1514	241583.0400	1.6577	76590.9900	0.5255	20381.4000	0.1399	6935.3100	0.0476	978418.8000	6.7137	8897.0400	0.0610	15351.4800	0.1053	25056.8100	0.1719	666271.5300	4.5718	1833438.3300	12.5806	9537757.5600	65.4456	171280.8000	1.1753	100177.7400	0.6874	282213761.3860	19.3648
State_14	0	100	29.1562	38.1871	723	0.0025	0.0033	3574.7100	0.0164	1274191.8300	5.8304	145589.8500	0.6662	57443.6700	0.2628	136915.4700	0.6265	789.2100	0.0036	43945.2000	0.2011	78420.0600	0.3588	3451423.9500	15.7929	655530.3000	2.9995	749993.2200	3.4318	112290.3900	0.5138	0.0000	0.0000	7176.6000	0.0328	2606017.6800	11.9245	7832297.9700	35.8386	501982.3800	2.2969	69616.0800	0.3185	2863304.5500	13.1018	1263839.7600	5.7830	270.9900	0.0012	1293336.9000	5.9180	782001.3600	3.5782	243327.7800	1.1134	85914.0900	0.3931	35397.9000	0.1620	25662.6000	0.1174	3191276.4300	14.6025	659778.8400	3.0190	614045.7900	2.8097	402899.6700	1.8436	515589.1200	2.3592	1666034.3700	7.6234	8164291.3200	37.3578	2784558.1500	12.7414	1389957.5700	6.3601	270.9900	0.0012	1301615.3700	5.9559	791365.8600	3.6211	251948.5200	1.1529	93721.3200	0.4288	37605.6000	0.1721	30608.8200	0.1401	3167861.1300	14.4953	647850.4200	2.9644	604182.0600	2.7646	408819.5100	1.8707	526251.5100	2.4080	1656905.8500	7.5816	8136132.9300	37.2289	2783206.8900	12.7353	1415996.1000	6.4792	270.9900	0.0012	1332547.3800	6.0974	841097.7900	3.8487	248628.1500	1.1377	119936.7000	0.5488	39180.6900	0.1793	32685.0300	0.1496	3120572.0700	14.2790	619908.4800	2.8365	567403.7400	2.5963	452525.7600	2.0706	559384.7400	2.5596	1642884.9300	7.5174	8119190.3400	37.1514	2739699.7200	12.5362	1418426.3700	6.4904	393130498.1630	17.9887
State_15	0	100	31.9110	39.6441	2041	0.0001	0.0113	0.0000	0.0000	280261.3500	1.5524	144439.2000	0.8001	69987.4200	0.3877	136633.5000	0.7568	8174.3400	0.0453	10551.9600	0.0584	14344.3800	0.0795	5711156.1000	31.6343	358696.2600	1.9868	564139.8000	3.1248	18589.5900	0.1030	0.0000	0.0000	480478.0500	2.6614	5970987.0900	33.0735	3396446.7300	18.8130	329610.6900	1.8257	92200.4100	0.5107	393072.2100	2.1772	73943.4600	0.4096	0.0000	0.0000	253948.8600	1.4066	784820.5200	4.3471	312292.9800	1.7298	82865.1600	0.4590	32733.3600	0.1813	23566.5900	0.1305	6146620.6500	34.0463	270623.1600	1.4990	253032.9300	1.4016	87583.8600	0.4851	262955.5200	1.4565	5380418.1600	29.8023	3815627.6700	21.1349	311688.9000	1.7265	34934.2200	0.1935	0.0000	0.0000	260779.2300	1.4445	790113.9600	4.3765	318566.5200	1.7645	86835.6900	0.4810	33745.2300	0.1869	27533.3400	0.1525	6117984.0900	33.8877	269484.2100	1.4927	251728.9200	1.3943	88207.4700	0.4886	274664.9700	1.5214	5372264.8800	29.7571	3792425.2200	21.0063	313630.8300	1.7372	55747.9800	0.3088	0.0000	0.0000	264712.3200	1.4662	787689.1800	4.3630	326164.3200	1.8066	108459.7200	0.6008	39979.8900	0.2214	27718.0200	0.1535	6089423.0400	33.7295	267136.4700	1.4797	249648.1200	1.3828	94687.1100	0.5245	277583.5800	1.5375	5340447.8100	29.5809	3809019.2400	21.0983	313696.4400	1.7376	57347.2800	0.3176	396273974.7540	21.9497
State_16	0	100	73.1029	33.1094	529	0.0002	0.0221	0.0000	0.0000	80568.0000	3.3598	56142.3600	2.3412	8737.5600	0.3644	35947.4400	1.4991	4944.3300	0.2062	2168.2800	0.0904	15325.9200	0.6391	742143.5100	30.9483	499458.8700	20.8280	696211.6500	29.0329	3307.7700	0.1379	305.1900	0.0127	0.0000	0.0000	25537.9500	1.0650	111665.8800	4.6566	3.7800	0.0002	9114.3900	0.3801	70576.3800	2.9431	35853.1200	1.4951	151.4700	0.0063	72731.1600	3.0330	90369.0000	3.7685	56963.6100	2.3755	26741.6100	1.1152	6711.2100	0.2799	8644.9500	0.3605	670594.7700	27.9646	532566.3600	22.2087	675269.0100	28.1595	51450.0300	2.1455	6498.1800	0.2710	73647.4500	3.0712	22817.9700	0.9515	86853.1500	3.6219	16002.4500	0.6673	151.4700	0.0063	73168.4700	3.0512	92073.7800	3.8396	58877.7300	2.4553	27627.2100	1.1521	6936.3000	0.2893	9182.3400	0.3829	661856.8500	27.6002	526717.0800	21.9647	669532.3200	27.9203	57469.1400	2.3965	14807.6100	0.6175	74942.2800	3.1252	22312.1700	0.9304	86527.8900	3.6083	15829.7400	0.6601	151.4700	0.0063	74253.0600	3.0964	91508.2200	3.8160	59850.9900	2.4959	30382.2000	1.2670	7687.2600	0.3206	10484.9100	0.4372	645608.8800	26.9227	492573.6900	20.5409	647592.3900	27.0054	77854.0500	3.2466	14877.9000	0.6204	69135.7500	2.8830	22328.8200	0.9311	134223.8400	5.5973	19498.9500	0.8131	49786198.2177	20.7614
State_17	0	100	64.7950	38.6596	259	0.0001	0.0104	0.0000	0.0000	101991.1500	4.0938	30719.6100	1.2331	3678.2100	0.1476	24469.6500	0.9822	4089.9600	0.1642	1259.9100	0.0506	13784.9400	0.5533	991285.5600	39.7893	306908.8200	12.3190	510128.6400	20.4761	4139.1000	0.1661	430.4700	0.0173	0.0000	0.0000	101930.4900	4.0914	309792.4200	12.4348	20.8800	0.0008	5530.1400	0.2220	49842.6300	2.0006	31334.4000	1.2577	4.5000	0.0002	97771.1400	3.9244	77802.5700	3.1229	35632.8000	1.4303	14281.0200	0.5732	3049.8300	0.1224	3046.1400	0.1223	949516.7400	38.1127	349211.2500	14.0170	490625.7300	19.6933	43014.6900	1.7266	5562.7200	0.2233	245804.7600	9.8664	97191.7200	3.9012	70891.2900	2.8455	7930.0800	0.3183	4.5000	0.0002	97566.2100	3.9162	77949.9900	3.1288	35913.7800	1.4415	14467.4100	0.5807	3075.3000	0.1234	3908.7900	0.1569	947228.6700	38.0209	348084.0900	13.9718	489211.9200	19.6365	44746.0200	1.7961	8058.5100	0.3235	245925.5400	9.8712	96008.4900	3.8537	70959.1500	2.8482	8228.6100	0.3303	4.5000	0.0002	98901.1800	3.9698	78702.3000	3.1590	36982.0800	1.4844	16658.7300	0.6687	3472.4700	0.1394	3804.3000	0.1527	939034.6200	37.6920	326215.4400	13.0940	479698.5600	19.2547	49981.7700	2.0062	9197.9100	0.3692	235895.3100	9.4686	96360.1200	3.8678	101061.5400	4.0565	15366.1500	0.6168	38403347.5700	15.4148
State_2	0	100	59.8097	41.8489	1219	0.0006	0.0580	0.0000	0.0000	89938.1700	4.2802	257002.6500	12.2309	28051.5600	1.3350	73148.4900	3.4812	13040.1000	0.6206	4493.9700	0.2139	5433.1200	0.2586	700892.9100	33.3559	148098.1500	7.0481	414865.0800	19.7436	1725.8400	0.0821	1420.7400	0.0676	0.0000	0.0000	49822.2000	2.3711	74033.7300	3.5233	0.0000	0.0000	66249.3600	3.1528	116721.6300	5.5548	56321.3700	2.6804	0.0000	0.0000	73899.1800	3.5169	162822.3300	7.7488	168802.2000	8.0334	132903.0900	6.3249	37207.8900	1.7707	17165.5200	0.8169	706893.3000	33.6414	245012.5800	11.6603	166371.2100	7.9177	24968.8800	1.1883	13411.8000	0.6383	108025.4700	5.1410	28113.1200	1.3379	177856.6500	8.4643	37805.8500	1.7992	0.0000	0.0000	73844.0100	3.5143	171298.7100	8.1522	177892.6500	8.4660	136852.3800	6.5129	38109.7800	1.8137	16499.5200	0.7852	698234.2200	33.2293	241067.8800	11.4725	164658.1500	7.8362	24661.5300	1.1737	13741.3800	0.6540	104956.4700	4.9949	26878.0500	1.2791	174992.3100	8.3280	37572.0300	1.7881	0.0000	0.0000	76354.3800	3.6337	169016.0400	8.0436	171248.4000	8.1498	146833.8300	6.9879	41438.9700	1.9721	19107.9000	0.9094	666473.1300	31.7178	220912.2900	10.5133	164357.7300	7.8219	27479.2500	1.3078	19952.7300	0.9496	95328.7200	4.5367	26926.7400	1.2815	210953.5200	10.0394	44875.4400	2.1356	93354000.7284	44.4276
