attributeName	formatString	unit	numberType	definition	attributeDefinition	columnClasses	minimum	maximum	missingValueCode	missingValueCodeExplanation
state_zoneid			character	the unique identifier for the zone	the unique identifier for the zone	character	NA	NA		
state_canopy2001_min		dimensionless	whole		minimum tree canopy cover within the zone in 2001	numeric	0	0		
state_canopy2001_max		dimensionless	natural		maximum tree canopy cover within the zone in 2001	numeric	100	100		
state_canopy2001_mean		dimensionless	real		mean tree canopy cover within the zone in 2001	numeric	7.8	73.1		
state_canopy2001_std		dimensionless	real		standard deviation of tree canopy cover within the zone in 2001	numeric	23.2	43.65		
state_damdensity_pointcount		dimensionless	natural		number of dams in zone	numeric	198	2041		
state_damdensity_pointsperha		numberPerHectare	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0		
state_damdensity_pointspersqkm		numberPerKilometerSquared	real		dam density in zone, calculated as the number of dams divided by the area of the zone	numeric	0	0.07		
state_nlcd1992_ha_0		hectare	real		area of zone with no land use/land cover data in 1992	numeric	0	3574.71		
state_nlcd1992_pct_0		dimensionless	real		percent of zone with no land use/land cover data in 1992	numeric	0	0.02		
state_nlcd1992_ha_11		hectare	real		area of zone classified as open water in 1992	numeric	11241.09	1274191.83		
state_nlcd1992_pct_11		dimensionless	real		percent of zone classified as open water in 1992	numeric	0.9	5.83		
state_nlcd1992_ha_21		hectare	real		area of zone classified as residential, low intensity in 1992	numeric	30719.61	414039.78		
state_nlcd1992_pct_21		dimensionless	real		percent of zone classified as residential, low intensity in 1992	numeric	0.67	13.95		
state_nlcd1992_ha_22		hectare	real		area of zone classified as residential, high intensity in 1992	numeric	3678.21	194431.14		
state_nlcd1992_pct_22		dimensionless	real		percent of zone classified as residential, high intensity in 1992	numeric	0.08	3.45		
state_nlcd1992_ha_23		hectare	real		area of zone classified as commercial/industrial/transportation in 1992	numeric	10174.68	209479.05		
state_nlcd1992_pct_23		dimensionless	real		percent of zone classified as commercial/industrial/transportation in 1992	numeric	0.49	3.65		
state_nlcd1992_ha_31		hectare	real		area of zone classified as bare rock/sand/clay in 1992	numeric	57.6	13040.1		
state_nlcd1992_pct_31		dimensionless	real		percent of zone classified as bare rock/sand/clay in 1992	numeric	0	0.62		
state_nlcd1992_ha_32		hectare	real		area of zone classified as quarries/strip mines/gravel pits in 1992	numeric	820.71	94332.87		
state_nlcd1992_pct_32		dimensionless	real		percent of zone classified as quarries/strip mines/gravel pits in 1992	numeric	0.02	0.8		
state_nlcd1992_ha_33		hectare	real		area of zone classified as transitional (barren) in 1992	numeric	0	192406.23		
state_nlcd1992_pct_33		dimensionless	real		percent of zone classified as transitional (barren) in 1992	numeric	0	2.29		
state_nlcd1992_ha_41		hectare	real		area of zone classified as deciduous forest in 1992	numeric	109520.37	6161796		
state_nlcd1992_pct_41		dimensionless	real		percent of zone classified as deciduous forest in 1992	numeric	7.41	52.53		
state_nlcd1992_ha_42		hectare	real		area of zone classified as evergreen forest in 1992	numeric	1998.99	2181265.47		
state_nlcd1992_pct_42		dimensionless	real		percent of zone classified as evergreen forest in 1992	numeric	0.01	25.93		
state_nlcd1992_ha_43		hectare	real		area of zone classified as mixed forest in 1992	numeric	15428.43	2631869.28		
state_nlcd1992_pct_43		dimensionless	real		percent of zone classified as mixed forest in 1992	numeric	0.13	31.29		
state_nlcd1992_ha_51		hectare	real		area of zone classified as shrubland in 1992	numeric	0	112290.39		
state_nlcd1992_pct_51		dimensionless	real		percent of zone classified as shrubland in 1992	numeric	0	0.51		
state_nlcd1992_ha_61		hectare	real		area of zone classified as orchards/vineyards/other in 1992	numeric	0	1420.74		
state_nlcd1992_pct_61		dimensionless	real		percent of zone classified as orchards/vineyards/other in 1992	numeric	0	0.07		
state_nlcd1992_ha_71		hectare	real		area of zone classified as grasslands/herbaceous in 1992	numeric	0	744423.75		
state_nlcd1992_pct_71		dimensionless	real		percent of zone classified as grasslands/herbaceous in 1992	numeric	0	5.11		
state_nlcd1992_ha_81		hectare	real		area of zone classified as pasture/hay in 1992	numeric	6149.16	5970987.09		
